Accession,Organism_Name,Species,Family,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
JX847353,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW57,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1992-06-09,2012-10-03,dsDNA
JX847352,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW56,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1992-10-12,2012-10-03,dsDNA
JX847351,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW55,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1993-03-17,2012-10-03,dsDNA
JX847350,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW54,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1992-05-12,2012-10-03,dsDNA
JX847349,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW53,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1992-05-05,2012-10-03,dsDNA
JX847348,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW52,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1992-03-23,2012-10-03,dsDNA
JX847347,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW51,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1991-12-31,2012-10-03,dsDNA
JX847346,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW50,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1992-06-15,2012-10-03,dsDNA
JX847345,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW49,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1992-05-12,2012-10-03,dsDNA
JX847344,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW48,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1992-05-20,2012-10-03,dsDNA
JX847343,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW47,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1991-12-10,2012-10-03,dsDNA
JX847342,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW46,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1991-08-26,2012-10-03,dsDNA
JX847341,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW45,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1991-11-22,2012-10-03,dsDNA
JX847340,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW44,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1991-06-19,2012-10-03,dsDNA
JX847339,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW43,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1992-03-03,2012-10-03,dsDNA
JX847338,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW42,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1992-05-05,2012-10-03,dsDNA
JX847337,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW41,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1991-09-09,2012-10-03,dsDNA
JX847336,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW40,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1992-08-26,2012-10-03,dsDNA
JX847335,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW39,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1992-04-28,2012-10-03,dsDNA
JX847334,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW38,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1991-09-14,2012-10-03,dsDNA
JX847333,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW37,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1992-06-03,2012-10-03,dsDNA
JX847332,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW36,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1992-05-13,2012-10-03,dsDNA
JX847331,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW35,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1991-10-22,2012-10-03,dsDNA
JX847330,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW34,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1992-03-24,2012-10-03,dsDNA
JX847329,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW33,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1992-08-18,2012-10-03,dsDNA
JX847328,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW32,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1992-06-12,2012-10-03,dsDNA
JX847327,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW31,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1991-06-27,2012-10-03,dsDNA
JX847326,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW30,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1991-09-09,2012-10-03,dsDNA
JX847325,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW29,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1991-09-24,2012-10-03,dsDNA
JX847324,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW28,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1992-04-22,2012-10-03,dsDNA
JX847323,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW27,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1991-04-03,2012-10-03,dsDNA
JX847322,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW26,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1992-12-01,2012-10-03,dsDNA
JX847321,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW25,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1991-05-16,2012-10-03,dsDNA
JX847320,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW24,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1992-02-26,2012-10-03,dsDNA
JX847319,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW23,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1992-05-15,2012-10-03,dsDNA
JX847318,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW22,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1992-04-22,2012-10-03,dsDNA
JX847317,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW21,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1992-06-10,2012-10-03,dsDNA
JX847316,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW20,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1991-10-18,2012-10-03,dsDNA
JX847315,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW19,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1991-08-20,2012-10-03,dsDNA
JX847314,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW18,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1992-10-18,2012-10-03,dsDNA
JX847313,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW17,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1991-10-11,2012-10-03,dsDNA
JX847312,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW16,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1992-10-18,2012-10-03,dsDNA
JX847311,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW15,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1992-02-18,2012-10-03,dsDNA
JX847310,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,16TW14,1410,partial,Taiwan,Taiwan,Homo sapiens,,"Chang,Y.J., Chen,H.C., Pan,M.H., Lee,B.H., You,S.L., Lin,C.Y., Chou,Y.C., Hsieh,C.Y., Cheng,Y.J., Liaw,K.L., Hsing,A.W., Schiffman,M., Chen,C.J., Chang,Y.-J., Chen,H.-C., Pan,M.-H., Lee,B.-H., You,S.-L., Lin,C.-Y., Chou,Y.-C., Hsieh,C.-Y., Cheng,Y.-J., Liaw,K.-L., Chen,C.-J.",1992-02-27,2012-10-03,dsDNA
